rank,expert,slot,mean_combine_weight,mean_routing_logit
57,21,5,3.566541e-03,-1.234515e-01
58,11,0,3.545692e-03,-1.004074e+00
59,27,2,3.480646e-03,-9.326730e-01
60,24,1,3.473669e-03,3.394278e-01
61,2,5,3.361891e-03,-2.684089e-01
62,15,2,3.340080e-03,-5.716606e-01
63,17,0,3.297703e-03,1.707726e+00
64,27,1,3.248377e-03,-3.244027e-01
65,22,2,3.037164e-03,-8.650690e-01
66,23,8,2.989054e-03,8.513412e-01
67,14,1,2.851776e-03,6.218151e-01
68,9,6,2.815482e-03,-1.018134e+00
69,8,8,2.814311e-03,-4.660769e-01
70,17,3,2.787955e-03,1.169992e+00
71,28,8,2.745815e-03,8.352324e-01
72,28,6,2.724677e-03,8.071411e-01
73,0,6,2.623149e-03,1.741481e+00
74,16,6,2.555689e-03,-4.993101e-01
75,15,8,2.465593e-03,-1.330685e+00
76,12,3,2.404933e-03,-7.170885e-01
77,12,2,2.350864e-03,-9.227586e-01
78,25,1,2.288533e-03,-3.204855e-02
79,10,2,2.288019e-03,8.567308e-01
80,1,0,2.210185e-03,-1.079071e+00
81,15,3,2.166767e-03,1.855949e+00
82,25,9,2.164571e-03,-8.978161e-01
83,11,4,2.120485e-03,3.702247e-01
84,5,9,2.059514e-03,7.098809e-01
85,3,9,2.052192e-03,-9.422153e-01
86,6,0,2.037908e-03,-2.718621e-02
87,6,2,1.928851e-03,-2.858426e-01
88,2,0,1.916356e-03,4.272106e-01
89,7,8,1.895793e-03,-3.210278e-01
90,19,4,1.876659e-03,9.113580e-01
91,6,9,1.854619e-03,-8.805806e-02
92,22,6,1.773286e-03,-8.329014e-01
93,12,8,1.746347e-03,-1.421550e-01
94,22,4,1.652433e-03,9.502844e-03
95,19,3,1.650162e-03,8.553568e-01
96,29,8,1.605709e-03,1.118927e+00
97,10,3,1.555680e-03,4.453176e-01
98,21,4,1.548533e-03,-1.351184e+00
99,10,0,1.535935e-03,-2.122674e+00
100,23,9,1.527107e-03,-1.247500e+00
101,7,2,1.523140e-03,-1.566067e+00
102,21,9,1.519451e-03,-7.561502e-01
103,15,0,1.487584e-03,3.371783e-01
104,25,7,1.430329e-03,-1.367971e+00
105,26,4,1.423956e-03,1.658977e+00
106,22,9,1.395851e-03,4.526073e-01
107,4,3,1.377927e-03,-6.285347e-01
108,9,2,1.371835e-03,4.104370e-01
109,17,8,1.309531e-03,-9.532183e-01
110,6,1,1.272248e-03,-7.979272e-02
111,11,9,1.271308e-03,-5.365799e-01
112,14,3,1.209296e-03,-1.311720e-01
113,14,6,1.207398e-03,-7.111772e-01
114,5,2,1.179759e-03,1.256645e+00
115,17,5,1.158141e-03,-1.666527e-01
116,3,7,1.140199e-03,-9.537740e-01
117,5,8,1.129262e-03,-1.593586e-02
118,26,5,1.096679e-03,-5.446867e-01
119,16,0,1.093036e-03,5.820938e-01
120,18,9,1.079017e-03,-1.671505e-01
121,25,2,1.063180e-03,-1.206446e+00
122,2,7,1.050769e-03,-2.316895e-01
123,26,2,1.025068e-03,8.445889e-01
124,18,2,1.018599e-03,5.233842e-01
125,9,1,1.006206e-03,8.832008e-01
126,24,7,9.699148e-04,1.644826e-01
