rank,expert,slot,mean_combine_weight,mean_routing_logit
193,7,0,9.552972e-04,-2.023494e+00
194,28,1,9.537300e-04,-6.047632e-01
195,2,4,9.496219e-04,-1.440045e-01
196,29,7,9.481384e-04,4.067037e-01
197,17,5,9.268583e-04,-5.515866e-01
198,29,3,9.170701e-04,-4.078544e-01
199,27,1,9.028134e-04,-1.084274e+00
200,22,1,8.940346e-04,-6.380193e-01
201,5,6,8.763687e-04,-2.394367e+00
202,29,2,8.763397e-04,-1.729755e+00
203,2,2,8.592420e-04,2.654850e-01
204,10,8,8.577939e-04,-5.059433e-02
205,24,0,8.338702e-04,-8.693723e-01
206,18,1,8.259054e-04,-5.067250e-01
207,25,6,8.240429e-04,-4.537391e-01
208,29,6,8.194750e-04,1.143004e+00
209,4,8,8.134217e-04,-5.529860e-01
210,26,3,8.015814e-04,-3.141658e-02
211,16,9,8.009519e-04,7.888560e-01
212,6,1,7.827816e-04,-1.181802e-01
213,13,9,7.609990e-04,-7.439592e-01
214,26,2,7.461980e-04,-1.407849e+00
215,23,3,7.437849e-04,-9.943999e-01
216,6,3,7.422138e-04,-3.839164e-01
217,7,8,7.186771e-04,-4.303668e-01
218,20,6,7.170155e-04,-1.736616e+00
219,5,4,7.060557e-04,-1.365340e+00
220,12,7,7.055604e-04,-1.952842e-01
221,4,9,7.003063e-04,2.470175e-01
222,4,0,6.928509e-04,1.203820e-01
223,22,5,6.817245e-04,-1.595307e+00
224,10,4,6.762771e-04,-4.027330e-01
225,8,5,6.758585e-04,-2.696509e-01
226,16,5,6.710985e-04,-5.152188e-01
227,12,8,6.649259e-04,2.660419e-01
228,6,5,6.562815e-04,-2.170760e-01
229,24,7,6.493143e-04,8.417419e-01
230,15,4,6.355342e-04,-5.460370e-01
231,23,6,6.310013e-04,-1.969523e+00
232,21,8,6.224468e-04,-8.830790e-01
233,13,4,6.134181e-04,-6.675108e-02
234,10,9,6.090915e-04,-1.085392e+00
235,27,2,5.847302e-04,-1.129032e+00
236,23,9,5.845467e-04,-1.578723e-01
237,27,8,5.747227e-04,8.429241e-02
238,18,5,5.634839e-04,-8.741006e-01
239,28,3,5.587247e-04,-1.363764e+00
240,14,8,5.568039e-04,-1.088113e+00
241,7,2,5.509247e-04,-4.296346e-01
242,13,0,5.409252e-04,-1.694077e+00
243,5,7,5.306363e-04,-7.227654e-01
244,6,4,5.238640e-04,-5.766487e-01
245,19,9,5.054773e-04,-4.189087e-01
246,9,2,4.947837e-04,2.282582e-01
247,29,0,4.903029e-04,-1.050878e+00
248,2,9,4.793337e-04,-2.105371e-01
249,16,7,4.747992e-04,-2.736328e-01
250,25,5,4.571872e-04,-1.207442e+00
251,8,9,4.490884e-04,-1.994699e-01
252,13,2,4.436948e-04,5.669861e-02
253,29,8,4.346017e-04,-1.647929e+00
254,12,9,4.297058e-04,-1.549973e+00
255,0,0,4.229697e-04,-7.450382e-01
256,22,0,4.130633e-04,-1.713966e+00
257,4,2,3.926779e-04,-9.423721e-01
258,18,6,3.885656e-04,-1.099841e+00
259,4,3,3.819545e-04,-2.008046e+00
260,28,2,3.818441e-04,-1.169181e+00
261,0,2,3.818367e-04,-3.809306e-01
262,23,4,3.771578e-04,-8.795038e-01
263,2,3,3.727457e-04,-1.093692e+00
264,14,5,3.713970e-04,-3.922583e-02
265,6,6,3.657214e-04,-9.796516e-01
266,12,6,3.639094e-04,-1.904220e-01
267,14,6,3.449098e-04,7.793862e-02
268,1,1,3.445285e-04,-1.690607e+00
269,23,0,3.311453e-04,-1.597733e+00
270,0,9,3.304530e-04,-1.187363e-01
271,26,5,3.279755e-04,-1.849428e+00
272,2,1,3.161232e-04,-1.526504e+00
