rank,expert,slot,mean_combine_weight,mean_routing_logit
97,1,1,3.046874e-03,9.558105e-01
98,2,7,3.000388e-03,1.260544e-01
99,22,0,2.869171e-03,-2.891582e-01
100,9,1,2.834254e-03,-4.787752e-01
101,2,3,2.809672e-03,-3.391882e-01
102,3,7,2.799901e-03,-2.056134e-01
103,17,5,2.763176e-03,6.901236e-01
104,19,0,2.762066e-03,8.724102e-02
105,26,4,2.761022e-03,-3.153931e-01
106,14,7,2.757835e-03,-6.982080e-01
107,10,4,2.731664e-03,7.227842e-01
108,1,7,2.686593e-03,1.481631e-01
109,13,2,2.678203e-03,7.409252e-01
110,27,1,2.615330e-03,4.013225e-01
111,7,9,2.589927e-03,4.791693e-01
112,20,7,2.574156e-03,6.018052e-01
113,6,5,2.536661e-03,2.904142e-02
114,23,8,2.536186e-03,-4.079346e-03
115,24,5,2.526206e-03,-9.365243e-01
116,7,3,2.500198e-03,-5.267518e-01
117,3,3,2.492672e-03,4.833874e-01
118,5,8,2.474900e-03,1.506198e+00
119,1,2,2.472041e-03,7.619044e-01
120,20,9,2.438823e-03,-1.797555e-01
121,18,4,2.436143e-03,6.365550e-01
122,3,0,2.429039e-03,-2.204913e-01
123,25,8,2.424936e-03,4.295366e-02
124,17,2,2.389741e-03,-3.316866e-01
125,1,4,2.388443e-03,8.205246e-01
126,7,4,2.385547e-03,-8.258232e-01
127,13,5,2.378844e-03,-8.265430e-01
128,28,7,2.376667e-03,1.064229e+00
129,28,5,2.371985e-03,-4.252667e-01
130,8,6,2.346822e-03,-4.827788e-01
131,16,2,2.329512e-03,5.122087e-01
132,8,7,2.321617e-03,1.556179e-01
133,11,2,2.304182e-03,1.184697e-01
134,5,9,2.299439e-03,-1.370917e+00
135,18,0,2.258332e-03,-7.719813e-02
136,21,5,2.224430e-03,4.995769e-01
137,11,0,2.197751e-03,3.033467e-01
138,25,7,2.194241e-03,-1.922588e-01
139,21,9,2.189111e-03,-6.644097e-01
140,20,6,2.186965e-03,-1.945958e-01
141,9,4,2.175199e-03,-5.951122e-01
142,28,0,2.138892e-03,3.330368e-01
143,25,6,2.108215e-03,1.448665e-01
144,19,2,2.102849e-03,2.094053e-01
145,4,3,2.089358e-03,-6.722713e-01
146,14,8,2.061098e-03,-1.633242e-02
147,17,4,2.056600e-03,1.044260e+00
148,4,0,2.047989e-03,-1.226213e-01
149,5,1,2.046024e-03,1.596435e-01
150,5,0,2.041540e-03,-3.298714e-01
151,25,3,2.033413e-03,6.856499e-01
152,13,7,1.977103e-03,-2.183287e-01
153,16,7,1.961939e-03,1.278349e+00
154,10,7,1.947196e-03,7.143358e-01
155,8,3,1.934842e-03,5.263420e-01
156,8,5,1.934027e-03,-1.174827e-01
157,10,9,1.917037e-03,-2.111906e-01
158,26,5,1.874079e-03,-1.452633e-02
159,2,8,1.873934e-03,-5.262675e-01
160,20,1,1.843494e-03,-1.552605e-01
161,3,4,1.838116e-03,-8.572030e-01
162,1,5,1.828789e-03,1.174983e+00
163,5,5,1.820631e-03,-6.636307e-01
164,20,2,1.820070e-03,-7.319215e-01
165,13,0,1.807193e-03,-3.333368e-01
166,27,4,1.788998e-03,-1.055737e-01
167,19,4,1.784458e-03,3.507231e-01
168,4,8,1.768214e-03,-5.354784e-01
169,4,9,1.760585e-03,2.260512e-01
170,19,5,1.753963e-03,-1.267848e+00
171,18,2,1.753108e-03,-1.158589e+00
172,12,1,1.737778e-03,-1.672134e-01
173,19,3,1.732971e-03,6.631500e-01
174,9,8,1.728067e-03,-2.687756e-01
175,23,2,1.727827e-03,6.850938e-01
176,2,6,1.725305e-03,4.498441e-01
177,7,6,1.721400e-03,-1.340258e-01
178,22,8,1.685914e-03,-1.575192e+00
179,26,3,1.661532e-03,-6.451752e-01
180,8,0,1.651666e-03,-1.089866e-02
181,14,5,1.649847e-03,1.731026e-01
182,10,8,1.632841e-03,-8.168492e-01
183,21,7,1.602695e-03,1.076148e-01
184,25,4,1.584157e-03,2.446811e-01
185,29,6,1.579835e-03,-2.034949e+00
186,11,3,1.573411e-03,1.204499e-01
187,25,9,1.568511e-03,-1.711032e+00
188,2,2,1.562275e-03,-1.535374e-01
189,8,1,1.557787e-03,-7.627727e-01
190,22,7,1.543205e-03,-3.869758e-01
191,12,2,1.530621e-03,-6.973553e-02
192,19,8,1.527343e-03,8.311366e-02
193,9,6,1.521289e-03,1.115708e-01
194,17,6,1.520287e-03,1.940359e-01
195,0,5,1.519816e-03,1.862532e-02
196,26,8,1.507203e-03,3.545490e-01
197,11,7,1.485444e-03,-1.437399e-01
198,16,6,1.482851e-03,-5.443513e-01
199,13,6,1.461309e-03,-2.781861e-01
200,27,5,1.450705e-03,-7.089750e-01
201,7,1,1.439093e-03,-6.501564e-01
202,0,1,1.434755e-03,-2.553622e-01
203,23,5,1.424643e-03,-7.281731e-01
204,24,3,1.416316e-03,-3.155477e-01
205,29,2,1.410331e-03,-3.219165e-02
206,12,4,1.395824e-03,-6.226552e-01
207,7,2,1.366492e-03,-6.057549e-01
208,3,9,1.359283e-03,-2.928301e-01
209,4,2,1.334504e-03,-1.778480e-02
210,15,2,1.332986e-03,-1.490944e+00
211,15,9,1.289064e-03,-1.374597e+00
