brazo,tipo,K,n_parches_mascara,objetos_a_mirar,unidad_objetos,area_mm2,pct_region,marcas_recuperadas,n_marcas,recall
CLAM∩Mammoth+HoVer-NeXt,CLAM∩Mammoth+HoVer-NeXt,300,150,33.0,nucleos,0.1169,6.01,10.0,26,0.3846
CLAM∪Mammoth+HoVer-NeXt,CLAM∪Mammoth+HoVer-NeXt,300,450,61.0,nucleos,0.2161,18.03,12.0,26,0.4615
azar,azar,300,300,300.0,parches,4.2512,12.02,3.12,26,0.1202
azar+HoVer-NeXt,azar+HoVer-NeXt,300,300,9.9,nucleos,0.0349,12.02,1.56,26,0.0601
CLAM,CLAM,500,500,500.0,parches,7.0853,20.03,23.0,26,0.8846
CLAM+HoVer-NeXt,CLAM+HoVer-NeXt,500,500,56.0,nucleos,0.1984,20.03,12.0,26,0.4615
Mammoth,Mammoth,500,500,500.0,parches,7.0853,20.03,23.0,26,0.8846
Mammoth+HoVer-NeXt,Mammoth+HoVer-NeXt,500,500,64.0,nucleos,0.2267,20.03,12.0,26,0.4615
CLAM∩Mammoth,CLAM∩Mammoth,500,286,286.0,parches,4.0528,11.46,20.0,26,0.7692
CLAM∪Mammoth,CLAM∪Mammoth,500,714,714.0,parches,10.1178,28.61,26.0,26,1.0
CLAM∩Mammoth+HoVer-NeXt,CLAM∩Mammoth+HoVer-NeXt,500,286,50.0,nucleos,0.1771,11.46,11.0,26,0.4231
CLAM∪Mammoth+HoVer-NeXt,CLAM∪Mammoth+HoVer-NeXt,500,714,70.0,nucleos,0.248,28.61,13.0,26,0.5
azar,azar,500,500,500.0,parches,7.0853,20.03,5.21,26,0.2003
azar+HoVer-NeXt,azar+HoVer-NeXt,500,500,16.4,nucleos,0.0582,20.03,2.6,26,0.1002
CLAM,CLAM,750,750,750.0,parches,10.6279,30.05,24.0,26,0.9231
CLAM+HoVer-NeXt,CLAM+HoVer-NeXt,750,750,61.0,nucleos,0.2161,30.05,12.0,26,0.4615
Mammoth,Mammoth,750,750,750.0,parches,10.6279,30.05,26.0,26,1.0
Mammoth+HoVer-NeXt,Mammoth+HoVer-NeXt,750,750,70.0,nucleos,0.248,30.05,13.0,26,0.5
CLAM∩Mammoth,CLAM∩Mammoth,750,478,478.0,parches,6.7735,19.15,24.0,26,0.9231
CLAM∪Mammoth,CLAM∪Mammoth,750,1022,1022.0,parches,14.4823,40.95,26.0,26,1.0
CLAM∩Mammoth+HoVer-NeXt,CLAM∩Mammoth+HoVer-NeXt,750,478,58.0,nucleos,0.2055,19.15,12.0,26,0.4615
CLAM∪Mammoth+HoVer-NeXt,CLAM∪Mammoth+HoVer-NeXt,750,1022,73.0,nucleos,0.2586,40.95,13.0,26,0.5
azar,azar,750,750,750.0,parches,10.6279,30.05,7.81,26,0.3005
azar+HoVer-NeXt,azar+HoVer-NeXt,750,750,24.6,nucleos,0.0873,30.05,3.91,26,0.1502
CLAM,CLAM,1000,1000,1000.0,parches,14.1705,40.06,25.0,26,0.9615
CLAM+HoVer-NeXt,CLAM+HoVer-NeXt,1000,1000,68.0,nucleos,0.2409,40.06,13.0,26,0.5
Mammoth,Mammoth,1000,1000,1000.0,parches,14.1705,40.06,26.0,26,1.0
Mammoth+HoVer-NeXt,Mammoth+HoVer-NeXt,1000,1000,74.0,nucleos,0.2622,40.06,13.0,26,0.5
CLAM∩Mammoth,CLAM∩Mammoth,1000,649,649.0,parches,9.1967,26.0,25.0,26,0.9615
CLAM∪Mammoth,CLAM∪Mammoth,1000,1351,1351.0,parches,19.1444,54.13,26.0,26,1.0
CLAM∩Mammoth+HoVer-NeXt,CLAM∩Mammoth+HoVer-NeXt,1000,649,67.0,nucleos,0.2374,26.0,13.0,26,0.5
CLAM∪Mammoth+HoVer-NeXt,CLAM∪Mammoth+HoVer-NeXt,1000,1351,75.0,nucleos,0.2657,54.13,13.0,26,0.5
azar,azar,1000,1000,1000.0,parches,14.1705,40.06,10.42,26,0.4006
azar+HoVer-NeXt,azar+HoVer-NeXt,1000,1000,32.9,nucleos,0.1164,40.06,5.21,26,0.2003
CLAM,CLAM,1392,1392,1392.0,parches,19.7254,55.77,26.0,26,1.0
CLAM+HoVer-NeXt,CLAM+HoVer-NeXt,1392,1392,73.0,nucleos,0.2586,55.77,13.0,26,0.5
Mammoth,Mammoth,1392,1392,1392.0,parches,19.7254,55.77,26.0,26,1.0
Mammoth+HoVer-NeXt,Mammoth+HoVer-NeXt,1392,1392,76.0,nucleos,0.2692,55.77,13.0,26,0.5
CLAM∩Mammoth,CLAM∩Mammoth,1392,915,915.0,parches,12.966,36.66,26.0,26,1.0
CLAM∪Mammoth,CLAM∪Mammoth,1392,1869,1869.0,parches,26.4847,74.88,26.0,26,1.0
CLAM∩Mammoth+HoVer-NeXt,CLAM∩Mammoth+HoVer-NeXt,1392,915,71.0,nucleos,0.2515,36.66,13.0,26,0.5
CLAM∪Mammoth+HoVer-NeXt,CLAM∪Mammoth+HoVer-NeXt,1392,1869,78.0,nucleos,0.2763,74.88,13.0,26,0.5
azar,azar,1392,1392,1392.0,parches,19.7254,55.77,14.5,26,0.5577
azar+HoVer-NeXt,azar+HoVer-NeXt,1392,1392,45.7,nucleos,0.162,55.77,7.25,26,0.2788
CLAM,CLAM,2000,2000,2000.0,parches,28.341,80.13,26.0,26,1.0
CLAM+HoVer-NeXt,CLAM+HoVer-NeXt,2000,2000,76.0,nucleos,0.2692,80.13,13.0,26,0.5
Mammoth,Mammoth,2000,2000,2000.0,parches,28.341,80.13,26.0,26,1.0
Mammoth+HoVer-NeXt,Mammoth+HoVer-NeXt,2000,2000,79.0,nucleos,0.2799,80.13,13.0,26,0.5
CLAM∩Mammoth,CLAM∩Mammoth,2000,1596,1596.0,parches,22.6162,63.94,26.0,26,1.0
CLAM∪Mammoth,CLAM∪Mammoth,2000,2404,2404.0,parches,34.0659,96.31,26.0,26,1.0
CLAM∩Mammoth+HoVer-NeXt,CLAM∩Mammoth+HoVer-NeXt,2000,1596,76.0,nucleos,0.2692,63.94,13.0,26,0.5
CLAM∪Mammoth+HoVer-NeXt,CLAM∪Mammoth+HoVer-NeXt,2000,2404,79.0,nucleos,0.2799,96.31,13.0,26,0.5
azar,azar,2000,2000,2000.0,parches,28.341,80.13,20.83,26,0.8013
azar+HoVer-NeXt,azar+HoVer-NeXt,2000,2000,65.7,nucleos,0.2328,80.13,10.42,26,0.4006
CLAM,CLAM,2496,2496,2496.0,parches,35.3696,100.0,26.0,26,1.0
