rank,expert,slot,mean_combine_weight,mean_routing_logit
112,13,9,2.158953e-03,3.484204e-01
113,23,3,2.152008e-03,-1.236633e+00
114,19,7,2.142235e-03,-9.883188e-01
115,2,3,2.127422e-03,-5.589200e-01
116,29,4,2.109470e-03,-1.188411e+00
117,0,9,2.085620e-03,8.295123e-01
118,20,9,2.069389e-03,3.224924e-02
119,27,2,1.997081e-03,2.067585e-01
120,9,3,1.994168e-03,1.074199e-01
121,6,1,1.981772e-03,4.571453e-01
122,21,3,1.971994e-03,-7.042905e-01
123,13,6,1.951062e-03,4.854979e-01
124,11,9,1.921193e-03,-6.969705e-01
125,14,6,1.897481e-03,3.547749e-01
126,14,1,1.860671e-03,6.773258e-01
127,26,2,1.842822e-03,-7.886401e-01
128,25,8,1.835337e-03,7.461392e-01
129,23,0,1.809578e-03,3.111061e-02
130,13,2,1.801166e-03,1.116870e+00
131,27,9,1.791520e-03,-6.840842e-02
132,12,1,1.789623e-03,-1.666258e-01
133,27,3,1.780917e-03,-5.843863e-02
134,26,5,1.775171e-03,-1.426155e+00
135,19,8,1.766399e-03,5.322033e-01
136,26,6,1.755345e-03,1.180592e+00
137,3,9,1.755064e-03,6.482970e-01
138,27,4,1.751623e-03,-2.452510e-01
139,10,1,1.743638e-03,5.937678e-01
140,4,5,1.734100e-03,-6.265873e-01
141,1,7,1.727432e-03,-1.933877e+00
142,10,7,1.721124e-03,-5.788518e-01
143,7,1,1.684025e-03,-6.926137e-01
144,1,2,1.674821e-03,3.347756e-01
145,8,0,1.667413e-03,-5.180526e-01
146,17,2,1.640493e-03,-7.174982e-01
147,25,5,1.629999e-03,-1.559594e+00
148,2,1,1.622484e-03,3.745473e-01
149,8,7,1.616369e-03,1.153551e+00
150,18,5,1.610237e-03,-1.426321e+00
151,13,8,1.598796e-03,-4.671230e-01
152,3,8,1.596422e-03,-2.123856e-01
153,17,7,1.590152e-03,5.831975e-01
154,5,4,1.584166e-03,-2.527080e-01
155,6,3,1.545377e-03,-4.190514e-01
156,29,8,1.543236e-03,-7.392036e-01
157,25,0,1.527133e-03,-1.711052e-01
158,0,2,1.513750e-03,-2.685435e-01
159,26,8,1.502582e-03,4.101446e-01
160,28,9,1.499650e-03,-4.864493e-01
161,29,7,1.490807e-03,4.625836e-01
162,2,4,1.482565e-03,-8.282011e-01
163,21,9,1.460144e-03,-7.714565e-02
164,15,2,1.451465e-03,1.469611e-01
165,21,6,1.447703e-03,-1.261644e+00
166,2,7,1.435449e-03,-5.927708e-01
167,12,7,1.419636e-03,-5.276474e-01
168,10,5,1.416941e-03,-3.052873e-01
169,5,2,1.396377e-03,2.477610e-01
170,7,2,1.384891e-03,-5.034202e-01
171,17,1,1.379247e-03,-1.007996e+00
172,2,8,1.372454e-03,-7.168768e-01
173,26,1,1.368938e-03,-9.383776e-01
174,26,9,1.349358e-03,3.021698e-02
175,8,5,1.345059e-03,-4.857073e-01
176,21,8,1.331953e-03,-2.757041e-01
177,18,1,1.316807e-03,-2.832959e-01
178,16,6,1.314615e-03,-9.560267e-01
179,4,8,1.276991e-03,-3.886091e-01
180,17,9,1.276800e-03,-6.303045e-01
181,20,1,1.267036e-03,-8.731590e-01
182,20,0,1.255020e-03,4.967284e-02
183,6,9,1.253857e-03,-4.693193e-01
184,18,8,1.226279e-03,1.083898e+00
185,24,7,1.221502e-03,-1.596757e-01
186,10,0,1.207267e-03,-6.440500e-01
187,11,5,1.199402e-03,-6.174466e-02
188,29,5,1.192845e-03,-9.243175e-01
189,23,7,1.192695e-03,-7.022435e-01
190,6,2,1.190810e-03,-4.654748e-01
191,23,1,1.170337e-03,8.077205e-02
