ckpt,grupo,idx,x,y,atencion,percentil
seba_privado_s0,Tejido Adiposo,1585,19322,63040,3.4045224310830235e-05,12.025844101709046
seba_privado_s0,Tejido Adiposo,1586,19322,63296,3.69139997928869e-05,13.943309712380158
seba_privado_s0,Tejido Adiposo,1587,19578,63040,3.180391286150552e-05,10.608586911213006
seba_privado_s0,Tejido Adiposo,1588,19578,63296,4.771673047798686e-05,21.2588578574406
seba_privado_s0,Tejido Adiposo,1589,19834,63040,4.73167237942107e-05,20.925385577323883
seba_privado_s0,Tejido Adiposo,1590,19834,63296,4.457751492736861e-05,19.13297207169654
seba_privado_s0,Tejido Adiposo,2348,14973,60480,7.238919351948425e-05,34.931221342225925
seba_privado_s0,Tejido Adiposo,2349,14973,60736,6.922111060703173e-05,33.57649020425177
seba_privado_s0,Tejido Adiposo,2350,14973,60992,6.062817919882946e-05,29.05377240516882
seba_privado_s0,Tejido Adiposo,2351,14973,61248,8.277010783785954e-05,39.3705710712797
seba_privado_s0,Tejido Adiposo,2352,14973,61504,3.334315260872245e-05,11.483951646519383
seba_privado_s0,Tejido Adiposo,2353,14973,61760,3.2863725209608674e-05,11.150479366402667
seba_privado_s0,Tejido Adiposo,2354,14973,62016,5.338059781934135e-05,25.114631096290122
seba_privado_s0,Tejido Adiposo,2367,15229,60480,5.282429629005492e-05,24.676948728636933
seba_privado_s0,Tejido Adiposo,2368,15229,60736,4.2996682168450207e-05,17.819924968736974
seba_privado_s0,Tejido Adiposo,2369,15229,60992,4.259207707946189e-05,17.465610671112962
seba_privado_s0,Tejido Adiposo,2370,15229,61248,3.729941454366781e-05,14.193413922467695
seba_privado_s0,Tejido Adiposo,2371,15229,61504,3.5653647501021624e-05,13.192997082117548
seba_privado_s0,Tejido Adiposo,2372,15229,61760,3.426242619752884e-05,12.213422259274697
seba_privado_s0,Tejido Adiposo,2373,15229,62016,3.890848165610805e-05,15.047936640266778
seba_privado_s0,Tejido Adiposo,2381,15485,60480,3.959517925977707e-05,15.464776990412672
seba_privado_s0,Tejido Adiposo,2382,15485,60736,2.9645552785950713e-05,9.524802000833681
seba_privado_s0,Tejido Adiposo,2383,15485,62016,3.1888390367385e-05,10.67111296373489
seba_privado_s0,Tejido Adiposo,2389,15741,62016,4.4045002141501755e-05,18.69528970404335
seba_privado_s0,Tejido Adiposo,2395,15997,62016,3.0511480872519314e-05,9.941642350979574
seba_privado_s0,Tejido Adiposo,2401,16253,62016,3.0154846172081307e-05,9.816590245935807
seba_combined_s0,Nucleos alto grado,1039,8446,71104,0.00020836717158090323,60.56690287619842
seba_combined_s0,Nucleos alto grado,1040,8446,71360,0.0005932500353083014,93.64318466027511
seba_combined_s0,Nucleos alto grado,1067,8958,70848,6.349270552163944e-05,36.82784493538975
seba_combined_s0,Nucleos alto grado,1068,8958,71104,0.00034354865783825517,76.30262609420592
seba_combined_s0,Nucleos alto grado,1071,8958,71872,0.0005716150044463575,92.39266360983743
seba_combined_s0,Nucleos alto grado,1084,9214,71104,0.00041940019582398236,82.82617757398916
seba_combined_s0,Nucleos alto grado,1087,9214,71872,0.00047758891014382243,87.45310546060858
seba_combined_s0,Nucleos alto grado,1101,9470,71104,0.0002366379339946434,64.00583576490205
seba_combined_s0,Nucleos alto grado,1102,9470,71360,0.0005648093647323549,91.95498124218425
seba_combined_s0,Nucleos alto grado,1117,9726,71104,0.0005456355283968151,91.10045852438516
seba_combined_s0,Nucleos alto grado,1120,9726,71872,0.0002355186006752774,63.81825760733639
seba_combined_s0,Nucleos alto grado,1121,9726,72128,0.00029579756665043533,71.40475197999166
seba_combined_s0,Nucleos alto grado,1151,10238,71616,0.000417897681472823,82.72196748645268
seba_combined_s0,Mitosis,1085,9214,71360,0.0004790484090335667,87.61984160066694
seba_combined_s0,Mitosis,1098,9470,70336,0.0004470668500289321,84.97290537724052
seba_combined_s0,Mitosis,1102,9470,71360,0.0005648093647323549,91.95498124218425
seba_combined_s0,Mitosis,1114,9726,70336,0.0005643479526042938,91.91329720716965
seba_combined_s0,Mitosis,1115,9726,70592,0.0005506257293745875,91.41308878699458
seba_combined_s0,Mitosis,1118,9726,71360,0.0004632834461517632,86.05669028761984
seba_combined_s0,Mitosis,1152,10238,71872,0.0007742988527752459,98.29095456440183
seba_combined_s0,Mitosis,1153,10238,72128,0.0004927392583340406,88.39099624843685
seba_combined_s0,Mitosis,1962,11645,55104,0.0005313448491506279,90.26677782409337
seba_combined_s0,Mitosis,1963,11645,55360,0.00047523161629214883,87.26552730304293
seba_combined_s0,Mitosis,1965,11645,55872,0.0005320300697349012,90.30846185910796
seba_combined_s0,Mitosis,1972,11645,57664,0.0005685974028892815,92.26761150479366
seba_combined_s0,Mitosis,1987,11901,55872,0.0006901997257955372,96.37348895373073
seba_combined_s0,Mitosis,1994,11901,57664,0.00033791063469834626,75.88578574406003
seba_combined_s0,Mitosis,2022,12157,58176,0.00013952319568488747,50.50020842017507
seba_combined_s0,Mitosis,2026,12157,59200,0.0003907753562089056,80.3459774906211
seba_combined_s0,Mitosis,2052,12413,58176,0.000728315906599164,97.41558982909545
seba_combined_s0,Mitosis,2053,12413,58432,0.0007603836129419506,98.12421842434348
seba_combined_s0,Mitosis,2054,12413,58688,0.0007052917499095201,96.72780325135473
seba_combined_s0,Mitosis,2074,12669,55616,0.0009267901768907905,99.49979157982493
seba_combined_s0,Mitosis,2075,12669,55872,0.0006245035910978913,94.60191746561067
seba_combined_s0,Mitosis,2120,12925,59200,0.0002750548883341253,68.9245518966236
seba_combined_s0,Mitosis,2137,13181,55616,0.000772362865973264,98.22842851187995
seba_combined_s0,Mitosis,2203,13693,56896,0.0010862237541005015,99.93747394747811
seba_combined_s0,Mitosis,2215,13693,59968,0.00016768059867899865,54.981242184243435
seba_combined_s0,Mitosis,2234,13949,57408,0.0006782287964597344,96.1025427261359
seba_combined_s0,Mitosis,2317,14717,58688,0.0003915847628377378,80.45018757815757
seba_combined_s0,Mitosis,2341,14973,58688,0.00042584064067341387,83.57649020425177
seba_combined_s0,Immune cells,1979,11901,53824,1.3629371096612886e-05,8.086702792830346
seba_combined_s0,Immune cells,1980,11901,54080,2.200202834501397e-05,21.2588578574406
seba_combined_s0,Immune cells,1981,11901,54336,1.4770788766327314e-05,10.962901208837016
seba_combined_s0,Immune cells,2005,12157,53824,1.819554927351419e-05,17.111296373488955
