rank,expert,slot,mean_combine_weight,mean_routing_logit
138,2,1,2.278877e-03,7.187928e-02
139,14,1,2.256815e-03,-1.553122e-01
140,23,4,2.236863e-03,-5.823613e-01
141,25,5,2.199533e-03,5.233384e-01
142,28,8,2.197464e-03,-8.436649e-01
143,1,0,2.192280e-03,1.451055e-01
144,3,8,2.191930e-03,-1.415730e-01
145,29,4,2.187155e-03,1.207306e+00
146,3,4,2.174589e-03,-4.163820e-01
147,17,6,2.169431e-03,-3.096630e-01
148,24,8,2.149846e-03,-1.899882e-01
149,11,3,2.140339e-03,-9.319556e-04
150,13,0,2.133712e-03,-3.726673e-01
151,8,7,2.133159e-03,2.701819e-01
152,14,8,2.130208e-03,-7.960721e-01
153,2,2,2.106561e-03,5.290175e-01
154,17,7,2.094242e-03,-5.050374e-01
155,22,0,2.084310e-03,-1.276841e+00
156,29,9,2.078233e-03,3.148773e-01
157,10,6,2.067153e-03,-5.876991e-01
158,16,0,2.065491e-03,-4.559523e-02
159,20,1,2.036094e-03,-1.837180e-01
160,13,6,2.006459e-03,1.594202e-01
161,19,5,1.945449e-03,-1.082898e+00
162,0,0,1.937744e-03,-7.096530e-02
163,2,3,1.905882e-03,-7.809799e-01
164,28,9,1.899446e-03,-7.063074e-01
165,28,3,1.888008e-03,-3.298319e-01
166,18,2,1.883618e-03,7.633452e-02
167,5,7,1.848357e-03,-4.696200e-01
168,10,9,1.844754e-03,9.636704e-01
169,3,7,1.827844e-03,3.178754e-03
170,23,6,1.826539e-03,-3.724538e-01
171,12,7,1.824225e-03,3.367116e-01
172,10,3,1.800593e-03,2.250995e-01
173,12,6,1.793154e-03,1.049338e-01
174,21,0,1.792330e-03,3.356843e-01
175,29,6,1.778421e-03,-4.528349e-01
176,23,7,1.773492e-03,-4.220979e-01
177,16,4,1.761139e-03,-9.610488e-01
178,20,9,1.748695e-03,5.199156e-01
179,27,3,1.726078e-03,-1.369440e+00
180,7,6,1.678516e-03,-9.452108e-01
181,13,8,1.678183e-03,-6.534378e-01
182,10,5,1.662186e-03,-2.634195e-01
183,20,8,1.647937e-03,2.677055e-01
184,23,0,1.642506e-03,-8.526101e-01
185,21,6,1.635661e-03,-4.402207e-01
186,1,1,1.634837e-03,-7.161223e-01
187,6,6,1.631475e-03,1.844453e-01
188,9,7,1.597392e-03,-4.756130e-01
189,21,3,1.591971e-03,-1.055265e+00
190,12,5,1.588569e-03,-6.622192e-01
191,22,1,1.545826e-03,-2.713318e-01
192,12,8,1.541379e-03,1.618922e-01
193,18,7,1.508852e-03,3.205734e-01
194,7,4,1.506724e-03,-8.678775e-01
195,18,6,1.481918e-03,-8.348369e-01
196,28,0,1.468005e-03,-8.951291e-01
197,27,9,1.445326e-03,4.085965e-01
198,25,9,1.424136e-03,-1.141390e+00
199,24,4,1.421968e-03,1.155430e-01
200,19,1,1.408289e-03,5.628960e-01
201,21,2,1.393192e-03,-4.939949e-01
202,7,5,1.369996e-03,1.859409e-01
203,22,4,1.357050e-03,2.584139e-01
204,17,3,1.350373e-03,-1.593435e-01
205,11,4,1.333126e-03,-9.263191e-01
206,15,3,1.320956e-03,1.594468e-01
207,7,8,1.292643e-03,-6.871132e-01
208,2,6,1.281219e-03,-7.905156e-01
209,11,8,1.265393e-03,-2.066161e-01
210,10,8,1.264682e-03,-8.270636e-01
211,22,9,1.254989e-03,-1.362219e+00
212,20,0,1.252759e-03,-2.369293e-01
213,18,1,1.242037e-03,-3.204552e-04
214,5,4,1.216909e-03,5.764894e-01
215,0,3,1.211990e-03,-4.528955e-01
216,22,8,1.208946e-03,-6.194317e-01
217,22,3,1.204519e-03,7.887031e-01
218,6,3,1.197982e-03,-6.240422e-01
219,27,5,1.176233e-03,-7.759781e-01
220,5,0,1.152791e-03,3.213430e-02
221,11,5,1.146615e-03,-5.741432e-01
222,3,9,1.137406e-03,-3.575567e-01
223,29,1,1.131460e-03,-4.936620e-01
224,10,4,1.120429e-03,-7.875761e-01
225,28,5,1.095755e-03,-1.191557e+00
226,20,6,1.079235e-03,-3.507581e-01
227,20,2,1.061743e-03,-6.691611e-01
228,14,3,1.060082e-03,-1.828361e+00
229,4,3,1.057567e-03,-8.648759e-01
230,1,8,1.039272e-03,-7.074163e-02
231,24,1,1.037539e-03,-3.117609e-01
232,1,9,1.019505e-03,-9.147223e-01
233,6,9,1.012604e-03,1.220328e-01
234,27,2,1.008689e-03,-1.068485e+00
235,4,7,9.991281e-04,-7.437978e-01
236,23,9,9.949751e-04,-4.082760e-01
237,6,1,9.943212e-04,-5.297126e-01
238,29,2,9.794508e-04,-2.835396e-02
239,18,5,9.714458e-04,-4.174970e-01
240,26,3,9.668407e-04,-1.353062e-01
241,25,4,9.618120e-04,-6.120118e-01
242,15,4,9.349029e-04,-3.250750e-01
243,16,8,9.232510e-04,-3.572824e-01
244,11,2,9.209772e-04,-2.839908e-01
245,15,8,9.138741e-04,-2.536333e-01
246,8,8,9.059872e-04,-7.042968e-01
247,20,7,9.053097e-04,-9.120862e-01
248,24,6,8.991282e-04,6.790336e-01
249,7,0,8.864483e-04,-7.561548e-01
250,7,7,8.792544e-04,-1.098163e-01
251,23,1,8.279419e-04,-1.139426e+00
252,24,0,8.251779e-04,-8.675331e-01
253,13,5,8.239446e-04,4.299745e-02
254,4,5,8.228846e-04,-3.909566e-01
255,7,1,8.174652e-04,-6.487417e-01
256,26,7,8.066102e-04,-6.266675e-01
257,12,4,8.048872e-04,-6.874526e-01
258,1,2,7.822453e-04,-9.310555e-02
259,14,0,7.709473e-04,1.449452e-01
260,22,2,7.542429e-04,-4.935566e-01
261,17,9,7.513583e-04,-1.554069e+00
262,27,8,7.486611e-04,-2.441456e-01
263,10,0,7.436539e-04,-3.391116e-01
264,12,2,7.367005e-04,-5.637229e-01
