ckpt,rol,split_129741,universo,n_universo,n_clases,cabeza,es_cabeza_verdadera,es_cabeza_predicha,pred,grupo,n_parches,grupo_de_interes,auc_ranking,percentil_mediano,percentil_medio,p_permutacion,p_traslacion,n_traslaciones,auc_nula_media
seba_combined_s0,primario,val,region_anotada,2496,4,score_3,True,True,score_3,Nucleos alto grado,13,True,0.7828619226122246,84.88977955911824,78.15014644673964,0.0004997501249375312,0.09245377311344327,2000.0,0.4926489044813955
seba_combined_s0,primario,val,region_anotada,2496,4,score_3,True,True,score_3,Mitosis,28,True,0.8914679323917574,92.1442885771543,88.72316060692815,0.0004997501249375312,0.0007616146230007616,1312.0,0.6792463535068607
seba_combined_s0,primario,val,region_anotada,2496,4,score_3,True,True,score_3,Immune cells,23,False,0.31273404947344363,27.895791583166332,31.4385292323778,,,,
seba_combined_s0,primario,val,region_anotada,2496,4,score_3,True,True,score_3,Tumor,48,False,0.7999472358387799,81.96392785571143,79.42969271877088,0.0004997501249375312,0.03427959292983396,1866.0,0.6548702627015002
seba_combined_s0,primario,val,region_anotada,2496,4,score_3,True,True,score_3,necrosis,18,False,0.9101425881086898,97.5751503006012,90.73480293921176,,,,
seba_combined_s0,primario,val,region_anotada,2496,4,score_3,True,True,score_3,Stroma,12,False,0.413479602791197,36.35270541082164,41.38610554442218,,,,
seba_combined_s0,primario,val,region_anotada,2496,4,score_3,True,True,score_3,Tejido Adiposo,27,False,0.12743200876048183,12.705410821643287,13.13144808134788,,,,
seba_5fold_f0,primario,val,lamina,4799,4,no_identificado,False,False,score_2,Nucleos alto grado,13,True,0.8385033270114758,84.55606502709462,83.76567159393336,,,,
seba_5fold_f0,primario,val,lamina,4799,4,no_identificado,False,False,score_2,Mitosis,28,True,0.8803934485133396,90.38140892038349,87.82528434466742,,,,
seba_5fold_f0,primario,val,lamina,4799,4,no_identificado,False,False,score_2,Immune cells,23,False,0.3905851722380016,37.95331388078366,39.108686590427176,,,,
seba_5fold_f0,primario,val,lamina,4799,4,no_identificado,False,False,score_2,Tumor,48,False,0.8357714165438855,84.73322217590663,83.24822842851188,,,,
seba_5fold_f0,primario,val,lamina,4799,4,no_identificado,False,False,score_2,necrosis,18,False,0.6726045225313161,68.5077115464777,67.19929600296419,,,,
seba_5fold_f0,primario,val,lamina,4799,4,no_identificado,False,False,score_2,Stroma,12,False,0.607113014414038,64.8082534389329,60.68674447686536,,,,
seba_5fold_f0,primario,val,lamina,4799,4,no_identificado,False,False,score_2,Tejido Adiposo,27,False,0.2796172115115954,27.90746144226761,28.081144921495067,,,,
seba_5fold_f0,primario,val,region_anotada,2496,4,no_identificado,False,False,score_2,Nucleos alto grado,13,True,0.8505839710028191,86.2124248496994,84.88977955911824,,,,
seba_5fold_f0,primario,val,region_anotada,2496,4,no_identificado,False,False,score_2,Mitosis,28,True,0.8924664274137531,91.02204408817636,88.82192957343258,,,,
seba_5fold_f0,primario,val,region_anotada,2496,4,no_identificado,False,False,score_2,Immune cells,23,False,0.40791856396912746,40.80160320641283,40.87305044872353,,,,
seba_5fold_f0,primario,val,region_anotada,2496,4,no_identificado,False,False,score_2,Tumor,48,False,0.8514688861655774,86.35270541082164,84.48480293921176,,,,
seba_5fold_f0,primario,val,region_anotada,2496,4,no_identificado,False,False,score_2,necrosis,18,False,0.6909245807550892,69.77955911823648,68.96236918281006,,,,
seba_5fold_f0,primario,val,region_anotada,2496,4,no_identificado,False,False,score_2,Stroma,12,False,0.623389694041868,66.0120240480962,62.284569138276545,,,,
seba_5fold_f0,primario,val,region_anotada,2496,4,no_identificado,False,False,score_2,Tejido Adiposo,27,False,0.2985014175779668,30.180360721442884,30.06012024048096,,,,
seba_5fold_f0,primario,val,lamina,4799,4,score_1,False,False,score_2,Nucleos alto grado,13,True,0.8765630524928477,90.89203834931222,87.56212524449292,,,,
seba_5fold_f0,primario,val,lamina,4799,4,score_1,False,False,score_2,Mitosis,28,True,0.866267928257029,86.7965819091288,86.42068123622938,,,,
